codigo_municipio_pni,vacina,cobertura_ano_anterior,tendencia,num_ubs,num_postos_saude,pib_per_capita,meta,vacina_BCG,vacina_Hepatite B,vacina_Poliomielite (3ª dose),vacina_Tríplice viral (D1),probabilidade_risco,nascidos_vivos,indice_urgencia
430510,Poliomielite (3ª dose),0.7970227318446993,-0.09269845001131405,52.0,3.0,81683.9704768706,0.95,False,False,True,False,0.8796772519543361,4971.0,4372.875619465005
354990,Hepatite B,0.7188733877336141,0.6127498449224122,40.0,1.0,88077.14179963102,0.95,False,True,False,False,0.5752765628264677,7598.0,4370.951324355501
120040,Poliomielite (3ª dose),0.8547530013776815,-0.10794457501852506,103.0,27.0,35533.24962440645,0.95,False,False,True,False,0.8582611139736698,5081.0,4360.824720100216
350570,Hepatite B,0.1511507360563964,0.0896283168697437,23.0,1.0,226391.22452784283,0.95,False,True,False,False,0.9035714706243312,4823.0,4357.9252028211495
411990,Poliomielite (3ª dose),0.7771321851006433,-0.0978678148993567,68.0,8.0,71387.82155922215,0.95,False,False,True,False,0.9019174438042046,4819.0,4346.340161692462
293330,Poliomielite (3ª dose),0.8113827820012328,-0.11613485751127517,51.0,22.0,34152.83960536995,0.95,False,False,True,False,0.8898754904027443,4867.0,4331.024011790157
330045,Poliomielite (3ª dose),0.5989686632288774,-0.0494060977653864,58.0,1.0,20050.92043462151,0.95,False,False,True,False,0.8542142506853487,5042.0,4306.948251955529
330100,Hepatite B,0.8200540175557056,0.052251632547187676,90.0,3.0,88831.26318401787,0.95,False,True,False,False,0.7216108204237319,5924.0,4274.822500190188
320520,BCG,0.7195402298850575,-0.04430012325086308,36.0,1.0,42143.25603670556,0.9,True,False,False,False,0.7536516955647218,5655.0,4261.900338418502
352590,Poliomielite (3ª dose),0.7508278145695364,-0.04786686215899716,40.0,0.0,147597.64993084714,0.95,False,False,True,False,0.8810769352487058,4832.0,4257.363751121747
261110,Poliomielite (3ª dose),1.0754509803921568,0.0892161625783916,63.0,0.0,27346.88759562658,0.95,False,False,True,False,0.6658284021089377,6375.0,4244.656063444478
411520,Poliomielite (3ª dose),0.6888029228454761,-0.051106374206678185,42.0,0.0,67903.99285255714,0.95,False,False,True,False,0.8972703165748623,4653.0,4174.998783022835
410480,Poliomielite (3ª dose),0.7900631236000815,-0.17195939792784976,51.0,3.0,55176.33335344533,0.95,False,False,True,False,0.8492053480523845,4911.0,4170.44746428526
353060,Poliomielite (3ª dose),0.8243942845309588,-0.12755269144252923,37.0,2.0,57745.81012391889,0.95,False,False,True,False,0.863146655366591,4829.0,4168.135198765268
500270,Tríplice viral (D1),0.9813084112149532,-0.3935501245210963,82.0,0.0,47065.76995880192,0.95,False,False,False,True,0.34856129050917917,11877.0,4139.862447377521
320130,Hepatite B,0.5069815195071868,-0.01621814457007542,39.0,1.0,55760.52289874424,0.95,False,True,False,False,0.8460439004016145,4870.0,4120.233794955862
353870,Poliomielite (3ª dose),0.8152266894781864,-0.06712625169828412,85.0,0.0,104770.08808876436,0.95,False,False,True,False,0.8781077287348795,4676.0,4106.031739564297
330455,Tríplice viral (D1),1.6281885365936724,-0.0519722793208377,396.0,3.0,67371.97489125733,0.95,False,False,False,True,0.06980804628354176,58726.0,4099.547326047274
351060,BCG,0.8240361835020461,-0.1672570847077649,15.0,1.0,21801.462075951466,0.9,True,False,False,False,0.8819922085046034,4643.0,4095.0898240868733
320130,Poliomielite (3ª dose),0.8728952772073922,-0.08364471859357359,39.0,1.0,55760.52289874424,0.95,False,False,True,False,0.8384755968793688,4870.0,4083.376156802526
150553,Poliomielite (3ª dose),0.8367433031006117,-0.08010912668093084,27.0,2.0,98646.43662539763,0.95,False,False,True,False,0.8605175439701555,4741.0,4079.713675962507
350570,Poliomielite (3ª dose),0.8484345842836409,-0.044370420930123444,23.0,1.0,226391.22452784283,0.95,False,False,True,False,0.8411702397532125,4823.0,4056.9640663297437
330330,Poliomielite (3ª dose),0.7349527085124677,-0.12961456741794408,75.0,0.0,158314.81746718727,0.95,False,False,True,False,0.8707371474344309,4652.0,4050.6692098649723
354980,Poliomielite (3ª dose),0.786825836708591,-0.12974959574159506,33.0,0.0,54934.44117628691,0.95,False,False,True,False,0.8536348982874624,4691.0,4004.401307866486
150080,Hepatite B,0.9475597092419522,0.00282470226845144,73.0,7.0,23964.96288467724,0.95,False,True,False,False,0.6921885678197232,5778.0,3999.4655448623603
510840,Hepatite B,0.5959401709401709,-0.16394170093624882,31.0,1.0,46601.94349469138,0.95,False,True,False,False,0.8484034632916463,4680.0,3970.528208204905
293330,BCG,0.7318676802958701,-0.17747591602655866,51.0,22.0,34152.83960536995,0.9,True,False,False,False,0.8094736309932707,4867.0,3939.7081620442486
510840,BCG,0.6025641025641025,-0.15686343037547035,31.0,1.0,46601.94349469138,0.9,True,False,False,False,0.8392402526786968,4680.0,3927.6443825363012
320130,BCG,0.4942505133470226,-0.022230695974833348,39.0,1.0,55760.52289874424,0.9,True,False,False,False,0.8027080878308219,4870.0,3909.188387736103
230370,Poliomielite (3ª dose),0.8824427480916031,-0.1275142557554212,54.0,11.0,27759.74122734263,0.95,False,False,True,False,0.8495776594726386,4585.0,3895.3135686820483
