codigo_municipio_pni,vacina,cobertura_ano_anterior,tendencia,num_ubs,num_postos_saude,pib_per_capita,meta,vacina_BCG,vacina_Hepatite B,vacina_Poliomielite (3ª dose),vacina_Tríplice viral (D1),cobertura_prevista_2026,deficit_cobertura,nascidos_vivos,criancas_sem_vacina_estimado
355480,BCG,0.8725701943844493,-0.08481616925191438,11.0,2.0,21334.9031715944,0.9,True,False,False,False,0.8087094387919231,0.09129056120807688,463.0,42
313925,BCG,0.037037037037037,-0.0854119425547997,2.0,4.0,13337.168584292143,0.9,True,False,False,False,0.11502938724931497,0.784970612750685,54.0,42
270480,BCG,0.7380952380952381,-0.08356081286017591,6.0,0.0,16248.556181007383,0.9,True,False,False,False,0.6476041512441433,0.25239584875585674,168.0,42
150450,Tríplice viral (D1),0.9531835205992508,0.19349359811863065,6.0,4.0,12463.649080018651,0.95,False,False,False,True,0.8712021818130556,0.07879781818694431,534.0,42
431365,BCG,0.6642857142857143,-0.0487577639751553,5.0,0.0,57603.16100903146,0.9,True,False,False,False,0.6015287546721446,0.2984712453278554,140.0,42
280200,Hepatite B,0.087719298245614,-0.006620324395895397,3.0,1.0,55483.179723502304,0.95,False,True,False,False,0.2121111733125077,0.7378888266874922,57.0,42
210720,BCG,0.7202380952380952,-0.20631557707828896,8.0,0.0,7701.32618510158,0.9,True,False,False,False,0.6508367365042242,0.24916326349577578,168.0,42
260630,Hepatite B,0.3924050632911392,-0.47856267864434465,6.0,0.0,13071.76690110521,0.95,False,True,False,False,0.4182306691470375,0.5317693308529625,79.0,42
210207,Hepatite B,0.6583333333333333,0.10448717948717945,9.0,0.0,12205.69931215198,0.95,False,True,False,False,0.6018589513161816,0.34814104868381834,120.0,42
315150,Poliomielite (3ª dose),0.8558139534883721,-0.24344162963817884,16.0,2.0,43496.58920747601,0.95,False,False,True,False,0.8529756685247543,0.0970243314752457,430.0,42
171665,Hepatite B,0.2459016393442623,-0.2726168791742562,3.0,1.0,26266.20605567974,0.95,False,True,False,False,0.2671999630052868,0.6828000369947131,61.0,42
510770,BCG,0.6909090909090909,-0.37758405977584064,7.0,1.0,42087.426389697794,0.9,True,False,False,False,0.6460651703047824,0.25393482969521763,165.0,42
211065,Hepatite B,0.6791044776119403,-0.14442493415276558,5.0,1.0,42493.61861861862,0.95,False,True,False,False,0.6353630281252601,0.3146369718747398,134.0,42
315290,Hepatite B,0.3625,0.1503787878787879,5.0,1.0,29693.552224601477,0.95,False,True,False,False,0.42316433866228187,0.5268356613377181,80.0,42
411722,BCG,0.5545454545454546,0.08844375963020035,1.0,4.0,58192.14131218457,0.9,True,False,False,False,0.5170354439167396,0.3829645560832604,110.0,42
220345,BCG,0.2424242424242424,-0.4733652312599681,6.0,1.0,23191.39644065946,0.9,True,False,False,False,0.2599453782746938,0.6400546217253062,66.0,42
431760,Poliomielite (3ª dose),0.8433476394849786,-0.20774725102597036,9.0,1.0,50733.01976855194,0.95,False,False,True,False,0.8590100081835811,0.09098999181641887,466.0,42
241140,Hepatite B,0.5531914893617021,-0.1859389454209065,7.0,4.0,16625.561978163136,0.95,False,True,False,False,0.500760413564645,0.449239586435355,94.0,42
410345,Poliomielite (3ª dose),0.8068535825545171,0.08260109086016498,5.0,2.0,142008.42238248145,0.95,False,False,True,False,0.8220352017439673,0.12796479825603269,321.0,41
291390,Poliomielite (3ª dose),0.8268482490272373,-0.13221607845814265,15.0,0.0,17563.45501891613,0.95,False,False,True,False,0.8711691557770529,0.07883084422294706,514.0,41
291520,Hepatite B,0.8176795580110497,-0.0485995117563921,8.0,0.0,48780.0783801437,0.95,False,True,False,False,0.7216926619721167,0.22830733802788328,181.0,41
291510,BCG,0.6129032258064516,-0.3796340876263842,6.0,0.0,11798.159820328914,0.9,True,False,False,False,0.5673861584605293,0.3326138415394707,124.0,41
220025,Hepatite B,0.2461538461538461,-0.014715719063545185,4.0,2.0,11847.338319401671,0.95,False,True,False,False,0.3132152098635133,0.6367847901364867,65.0,41
280260,Hepatite B,0.1607142857142857,-0.4363006396588486,3.0,4.0,23962.80425094275,0.95,False,True,False,False,0.2210235512872681,0.7289764487127318,56.0,41
522170,Hepatite B,0.7428571428571429,-0.23928571428571432,6.0,0.0,29547.964163449637,0.95,False,True,False,False,0.6551642206688802,0.2948357793311197,140.0,41
211163,Hepatite B,0.4756097560975609,-0.4695957233544939,3.0,3.0,11082.477876106195,0.95,False,True,False,False,0.4442135521316979,0.5057864478683021,82.0,41
510830,Hepatite B,0.3333333333333333,-0.463768115942029,3.0,0.0,156757.9468473163,0.95,False,True,False,False,0.2969610791952421,0.6530389208047578,63.0,41
270135,Hepatite B,0.532608695652174,-0.018411712511091305,3.0,0.0,16474.868717179295,0.95,False,True,False,False,0.5059382830618204,0.44406171693817953,92.0,41
241415,Hepatite B,0.5816326530612245,-0.37074829931972797,2.0,8.0,20453.742997793244,0.95,False,True,False,False,0.5312222005311619,0.4187777994688381,98.0,41
410310,Hepatite B,0.8324607329842932,-0.05577456113335377,4.0,0.0,22971.501616662907,0.95,False,True,False,False,0.7334997567136043,0.2165002432863956,191.0,41
410600,Hepatite B,0.5612244897959183,0.3034925310330318,1.0,3.0,37201.5625,0.95,False,True,False,False,0.531344540706921,0.4186554592930789,98.0,41
290840,BCG,0.9630484988452656,-0.021711172901510478,27.0,8.0,16543.501658680427,0.9,True,False,False,False,0.8529307735150589,0.04706922648494116,866.0,41
290430,BCG,0.7055214723926381,-0.1092933424221767,8.0,0.0,13032.218187437224,0.9,True,False,False,False,0.6474365177303669,0.2525634822696331,163.0,41
410010,Hepatite B,0.3902439024390244,0.184361549497848,3.0,1.0,41039.35920452976,0.95,False,True,False,False,0.44587970504239166,0.5041202949576082,82.0,41
293245,Hepatite B,0.7659574468085106,-0.22130369968830454,11.0,1.0,17516.12666764404,0.95,False,True,False,False,0.6599022616907333,0.29009773830926666,141.0,41
314465,BCG,0.5294117647058824,-0.10451680672268904,5.0,3.0,15755.194559879108,0.9,True,False,False,False,0.5011159261293232,0.3988840738706768,102.0,41
220720,Hepatite B,0.3717948717948718,-0.10581706850363559,6.0,1.0,13858.508304606708,0.95,False,True,False,False,0.4212113354709343,0.5287886645290656,78.0,41
311580,BCG,0.3855421686746988,-0.24211740579338625,5.0,1.0,43977.95630449691,0.9,True,False,False,False,0.411381531667534,0.488618468332466,83.0,41
221030,Hepatite B,0.3142857142857143,0.018831168831168865,3.0,0.0,11258.423236514524,0.95,False,True,False,False,0.36072399401115135,0.5892760059888487,70.0,41
410240,Poliomielite (3ª dose),0.75,-0.10756676557863498,11.0,1.0,43559.39628433473,0.95,False,False,True,False,0.8348132199533347,0.11518678004666527,352.0,41
311430,BCG,0.8274647887323944,-0.16466119551957403,11.0,0.0,41200.54462100583,0.9,True,False,False,False,0.7553611437010725,0.14463885629892748,284.0,41
420430,Hepatite B,0.9445983379501384,-0.04065239951298838,21.0,15.0,67491.26717781642,0.95,False,True,False,False,0.9117442289831349,0.03825577101686506,1083.0,41
220480,BCG,0.3658536585365853,-0.02655140475455392,5.0,6.0,10805.732484076432,0.9,True,False,False,False,0.4027508232943803,0.49724917670561974,82.0,41
316550,Hepatite B,0.208955223880597,0.108955223880597,2.0,0.0,16711.206896551725,0.95,False,True,False,False,0.33755632429747195,0.612443675702528,67.0,41
352460,BCG,0.7529411764705882,-0.11637700534759354,8.0,0.0,43418.0903273902,0.9,True,False,False,False,0.6590610273967872,0.24093897260321284,170.0,41
315480,Hepatite B,0.5865384615384616,-0.3182234432234432,3.0,0.0,25373.94016177761,0.95,False,True,False,False,0.5553257550149127,0.3946742449850873,104.0,41
411380,Hepatite B,0.04,-0.9944827586206895,2.0,0.0,34250.15582796592,0.95,False,True,False,False,0.13368571885117006,0.8163142811488299,50.0,41
